teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
3011;kościański;15114;79253;19.07;0;0;1;0;1;0;p;15114
3012;krotoszyński;15375;77720;19.78;0;0;1;0;1;0;p;15375
3013;leszczyński;12130;55883;21.71;0;0;0;0;0;0;p;66666
3014;międzychodzki;7119;36987;19.25;0;0;0;0;0;0;p;66666
3015;nowotomyski;15620;75164;20.78;0;0;2;0;2;0;p;7810
3016;obornicki;12367;59726;20.71;0;0;1;0;1;0;p;12367
3017;ostrowski;30159;161763;18.64;0;0;2;1;2;1;p;10053
3018;ostrzeszowski;10745;55479;19.37;0;0;1;0;1;0;p;10745
3019;pilski;25588;137104;18.66;0;0;1;1;1;1;p;12794
3020;pleszewski;12327;63218;19.50;0;0;1;0;1;0;p;12327
3021;poznański;86183;381630;22.58;0;0;4;0;4;0;p;21545.8
3022;rawicki;12175;60409;20.15;0;0;1;0;1;0;p;12175
3023;słupecki;11071;59576;18.58;0;0;2;2;2;2;p;2767.75
3024;szamotulski;18367;90920;20.20;0;0;1;1;1;1;p;9183.5
3025;średzki;11779;58155;20.25;0;0;1;0;1;0;p;11779
3026;śremski;12424;61229;20.29;0;0;1;0;1;0;p;12424
3027;turecki;16134;84267;19.15;0;0;1;1;1;1;p;8067
3028;wągrowiecki;14337;70212;20.42;0;0;1;0;1;0;p;14337
3029;wolsztyński;11987;57289;20.92;0;0;1;0;1;0;p;11987
3030;wrzesiński;15260;77361;19.73;0;0;4;1;4;1;p;3052
3031;złotowski;13518;69780;19.37;0;0;1;0;1;0;p;13518
3061;m.Kalisz;16931;101625;16.66;0;0;1;1;1;1;m;8465.5
3062;m.Konin;11538;74834;15.42;0;0;1;1;1;1;m;5769
3063;m.Leszno;11730;64197;18.27;0;0;1;1;1;1;m;5865
3064;m.Poznań;88983;538633;16.52;3;2;2;1;5;3;m;11122.9
3201;białogardzki;8599;48041;17.90;0;0;1;0;1;0;p;8599
3202;choszczeński;8703;48906;17.80;0;0;1;0;1;0;p;8703
3203;drawski;10443;57729;18.09;0;0;0;0;0;0;p;66666
3204;goleniowski;15558;82567;18.84;0;0;2;0;2;0;p;7779
3205;gryficki;10912;60885;17.92;0;0;1;0;1;0;p;10912
3206;gryfiński;14894;82951;17.96;0;0;1;0;1;0;p;14894
3207;kamieński;7661;47281;16.20;0;0;1;0;1;0;p;7661
3208;kołobrzeski;13342;79596;16.76;0;0;1;0;1;0;p;13342
3209;koszaliński;12078;66269;18.23;0;0;0;0;0;0;p;66666
