urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Przywidz;220405;2;0;53.00;0;0;0;0;0;2;220405;2;Przywidz;12934;129;5855;45;920;1526;gw;54.137023,18.215348 54.277406,18.452990;54.2072145,18.334169;220405;4400;1672;605;1611;301;355;56;776;26.57000;18.00;21.23;3.35;46.41
Burmistrz Miasta Pułtusk;142404;5;0;50.80;1;1;0;1;0;2;142404;3;Pułtusk;13413;134;24613;184;854;252;gmw;52.649728,20.977583 52.803773,21.190630;52.7267505,21.0841065;142404;19164;9049;1999;8751;4389;2599;548;656;18.09000;48.50;28.72;6.06;7.25
Wójt Gminy Budziszewice;101603;1;0;52.00;0;0;0;0;0;1;101603;2;Budziszewice;3017;30;2181;72;2166;2269;gw;51.654536,19.912923 51.728151,20.068038;51.6913435,19.9904805;101603;1811;946;370;869;432;249;34;95;28.12000;45.67;26.32;3.59;10.04
Wójt Gminy Małkinia Górna;141605;3;1;52.67;0;1;0;0;0;2;141605;2;Małkinia Górna;13431;134;11740;87;849;716;gw;52.621575,21.912012 52.780217,22.134928;52.700896,22.02347;141605;9811;4119;1324;3876;1209;1874;115;436;24.32000;29.35;45.50;2.79;10.59
Wójt Gminy Spytkowice;121113;2;1;52.50;0;0;0;0;0;2;121113;2;Spytkowice;3218;32;4508;140;2153;1854;gw;49.543570,19.751483 49.599316,19.874950;49.571443,19.8132165;121113;3387;1414;425;1392;231;995;30;103;23.11000;16.34;70.37;2.12;7.28
Burmistrz Miasta Międzyrzec Podlaski;060101;2;0;47.00;0;1;0;0;0;1;060101;1;Międzyrzec Podlaski;2003;21;16925;845;2237;433;gm;51.960453,22.724189 52.001570,22.829590;51.9810115,22.7768895;060101;13971;5964;1159;5872;2076;2344;630;509;16.27000;34.81;39.30;10.56;8.53
Wójt Gminy Maszewo;080207;2;0;55.00;0;0;0;0;0;2;080207;2;Maszewo;21400;214;2831;13;274;2208;gw;52.028523,14.789871 52.218880,15.059446;52.1237015,14.9246585;080207;2352;928;350;807;563;60;61;95;27.39000;60.67;6.47;6.57;10.24
Wójt Gminy Świercze;142405;2;0;48.00;0;1;0;0;0;1;142405;2;Świercze;9337;93;4632;50;1499;1826;gw;52.613739,20.694593 52.722046,20.908792;52.6678925,20.8016925;142405;3836;1680;737;1616;902;391;74;68;30.49000;53.69;23.27;4.40;4.05
Burmistrz Józefowa;060207;3;0;48.33;0;1;0;0;0;2;060207;3;Józefów;12646;126;6817;54;965;1319;gmw;50.421570,22.948322 50.566017,23.187963;50.4937935,23.0681425;060207;5903;2366;598;2293;542;714;117;780;20.18000;22.91;30.18;4.95;32.97
Wójt Gminy Gromadka;020103;3;1;50.00;0;0;0;0;0;3;020103;2;Gromadka;26768;268;5345;20;138;1643;gw;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655;020103;4578;2042;911;1839;334;652;104;659;30.85000;16.36;31.93;5.09;32.27
Wójt Gminy Krasocin;261302;1;0;53.00;0;0;0;0;0;1;261302;2;Krasocin;19279;192;10650;55;379;805;gw;50.819519,19.984048 50.990207,20.249664;50.904863,20.116856;261302;8681;3824;1076;3782;2536;863;117;127;21.96000;66.32;22.57;3.06;3.32
Wójt Gminy Gościeradów;060704;4;0;52.75;1;1;0;0;0;2;060704;2;Gościeradów;15929;159;7280;46;605;1235;gw;50.771627,21.917931 50.958243,22.096299;50.864935,22.007115;060704;5928;2355;721;2290;1353;563;122;158;23.44000;57.45;23.91;5.18;6.71
Burmistrz Lądka-Zdroju;020808;5;1;51.80;0;1;0;0;0;4;020808;3;Lądek-Zdrój;11727;117;8365;71;1096;1055;gmw;50.289286,16.744505 50.409175,16.939320;50.3492305,16.8419125;020808;7138;2731;745;2485;539;439;264;840;21.43000;19.74;16.07;9.67;30.76
Burmistrz Suchowoli;201109;2;0;45.00;0;1;0;0;0;1;201109;3;Suchowola;25570;256;6945;27;167;1290;gmw;53.501160,22.927823 53.683649,23.282317;53.5924045,23.10507;201109;5915;2380;386;2335;1448;695;48;94;13.96000;60.84;29.20;2.02;3.95
Wójt Gminy Kotuń;142603;2;0;47.00;0;1;0;0;0;1;142603;2;Kotuń;15047;150;8575;57;676;1029;gw;52.090642,21.900325 52.231762,22.163208;52.161202,22.0317665;142603;6869;2875;1078;2720;1320;755;157;259;27.27000;45.91;26.26;5.46;9.01
Wójt Gminy Marianowo;321408;4;3;58.25;1;0;0;0;0;3;321408;2;Marianowo;10194;102;3172;31;1358;2161;gw;53.314994,15.126720 53.464817,15.353793;53.3899055,15.2402565;321408;2518;1131;289;1095;845;114;34;82;20.35000;74.71;10.08;3.01;7.25
Wójt Gminy Murów;160906;4;1;48.50;0;0;1;0;0;3;160906;2;Murów;16002;160;5397;34;593;1629;gw;50.799219,17.885712 50.968158,18.119206;50.8836885,18.002459;160906;4660;1420;438;873;121;80;24;610;23.57000;8.52;5.63;1.69;42.96
Wójt Gminy Żyraków;180307;3;0;53.67;0;1;0;0;0;2;180307;2;Żyraków;11038;110;13961;126;1218;565;gw;50.046950,21.295007 50.169618,21.483190;50.108284,21.3890985;180307;10886;5167;863;5093;1682;2482;589;194;14.31000;32.55;48.04;11.40;3.75
Wójt Gminy Sobków;260208;4;1;44.00;0;1;0;0;0;3;260208;2;Sobków;14431;144;8533;59;740;1034;gw;50.635295,20.298138 50.788255,20.584499;50.711775,20.4413185;260208;6893;3427;936;3392;1921;1061;142;138;21.45000;56.05;30.96;4.14;4.03
Wójt Gminy w Radzanowie;140103;1;0;54.00;1;0;0;0;0;0;140103;2;Radzanów;8252;83;3898;47;1665;2008;gw;51.511536,20.757368 51.612069,20.927846;51.5618025,20.842607;140103;3048;1227;582;1181;579;340;24;124;32.17000;47.19;27.71;1.96;10.11
Burmistrz Gminy i Miasta Raszków;301706;1;0;51.00;0;0;0;0;0;1;301706;3;Raszków;13457;135;11893;88;846;705;gmw;51.656900,17.609920 51.816052,17.829495;51.736476,17.7197075;301706;9261;3271;1011;2593;760;678;197;837;23.61000;23.23;20.73;6.02;25.59
Wójt Gminy Santok;080106;4;1;42.50;0;0;0;0;0;4;080106;2;Santok;16939;169;8382;49;527;1052;gw;52.693347,15.276002 52.818170,15.605472;52.7557585,15.440737;080106;6432;2682;676;2418;778;344;523;660;20.13000;29.01;12.83;19.50;24.61
Burmistrz Miasta i Gminy Pieńsk;022504;2;0;44.50;0;0;0;0;0;2;022504;3;Pieńsk;11053;111;9179;83;1214;948;gmw;51.187013,14.965036 51.363905,15.221041;51.275459,15.0930385;022504;7407;2539;1025;2327;401;442;584;668;28.76000;15.79;17.41;23.00;26.31
Wójt Gminy Rutka-Tartak;201206;2;1;47.50;0;1;0;0;0;1;201206;2;Rutka-Tartak;10346;103;2382;23;1333;2255;gw;54.259740,22.863784 54.390989,23.063165;54.3253645,22.9634745;201206;2008;693;151;639;359;176;25;60;17.89000;51.80;25.40;3.61;8.66
Wójt Gminy Radzanowo;141910;1;0;33.00;0;0;0;0;0;1;141910;2;Radzanowo;10445;104;8413;81;1313;1047;gw;52.539842,19.730786 52.633994,19.973421;52.586918,19.8521035;141910;6468;3125;817;2971;2040;514;123;188;20.73000;65.28;16.45;3.94;6.02
Burmistrz Dukli;180702;5;2;48.60;0;1;0;0;0;4;180702;3;Dukla;23514;235;14665;62;215;526;gmw;49.389129,21.569567 49.631316,21.792572;49.5102225,21.6810695;180702;11915;4920;1177;4873;1438;1568;179;1461;19.30000;29.23;31.87;3.64;29.70
Burmistrz Sokółki;201108;4;1;45.50;0;1;0;0;0;3;201108;3;Sokółka;31356;314;25765;82;85;235;gmw;53.254703,23.307141 53.490040,23.725913;53.3723715,23.516527;201108;21469;9247;1636;8921;5312;2186;220;655;15.03000;57.45;23.64;2.38;7.08
Wójt Gminy Boniewo;041803;2;0;46.50;1;0;0;0;0;1;041803;2;Boniewo;7762;78;3392;44;1739;2121;gw;52.396751,18.802861 52.520099,18.961070;52.458425,18.8819655;041803;2819;1232;485;1181;455;137;400;149;28.25000;36.93;11.12;32.47;12.09
Wójt Gminy Słupia (Jędrzejowska);260207;3;0;43.00;0;1;0;0;0;2;260207;2;Słupia;10842;108;4360;40;1253;1894;gw;50.539339,19.788101 50.640371,20.078813;50.589855,19.933457;260207;3594;1901;399;1892;1396;372;68;35;17.35000;73.44;19.57;3.58;1.84
Burmistrz Miasta i Gminy Witnica;080107;3;2;37.67;0;0;0;0;0;3;080107;3;Witnica;27868;279;12957;46;130;630;gmw;52.594154,14.667270 52.784522,15.052697;52.689338,14.8599835;080107;10252;3559;1030;3369;1078;627;256;1280;22.44000;30.29;17.62;7.19;35.97
Wójt Gminy Ropa;120508;3;0;45.33;0;1;0;0;0;2;120508;2;Ropa;4911;49;5440;111;2028;1620;gw;49.527161,20.999404 49.621087,21.126107;49.574124,21.0627555;120508;4047;1523;490;1480;262;824;33;245;24.34000;17.20;54.10;2.17;16.09
Burmistrz Gminy Mosina;302110;3;0;51.67;0;0;0;0;0;3;302110;3;Mosina;17143;172;32350;189;504;168;gmw;52.167356,16.732171 52.333879,17.019608;52.2506175,16.8758895;302110;23303;7806;3115;6450;1161;1554;756;2224;28.52000;14.87;19.91;9.68;28.49
Wójt Gminy Będków;101602;2;0;49.50;0;1;0;0;0;1;101602;2;Będków;5774;57;3331;58;1961;2135;gw;51.530511,19.708049 51.634959,19.841657;51.582735,19.774853;101602;2826;1035;276;984;325;387;82;135;21.05000;31.40;37.39;7.92;13.04
Burmistrz Miasta Przedborza;101211;4;2;53.00;0;1;0;0;0;3;101211;3;Przedbórz;18970;190;7262;38;393;1238;gmw;50.962420,19.850733 51.202137,20.056236;51.0822785,19.9534845;101211;6070;2839;1028;2794;1623;641;74;239;26.58000;57.17;22.58;2.61;8.42
Burmistrz Miasta Piechowice;020603;7;1;51.00;1;0;0;0;0;6;020603;1;Piechowice;4322;43;6314;146;2069;1422;gm;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;020603;5328;2146;604;1946;358;357;338;720;21.96000;16.68;16.64;15.75;33.55
Wójt Gminy Lubrza;161003;3;0;42.00;1;1;0;0;0;1;161003;2;Lubrza;8311;84;4376;53;1656;1889;gw;50.265982,17.555480 50.373477,17.768945;50.3197295,17.6622125;161003;3578;1538;357;1325;635;284;116;235;18.84000;41.29;18.47;7.54;15.28
Wójt Gminy Przytuły;200706;3;0;46.67;0;1;0;0;0;2;200706;2;Przytuły;7115;71;2148;30;1832;2270;gw;53.331054,22.235331 53.437848,22.406372;53.384451,22.3208515;200706;1797;793;215;780;406;295;8;28;21.33000;51.20;37.20;1.01;3.53
Wójt Gminy Teresin;142808;1;0;60.00;0;0;0;0;0;1;142808;2;Teresin;8796;88;11453;130;1565;743;gw;52.129818,20.301046 52.245814,20.490674;52.187816,20.39586;142808;9016;3859;906;3596;1765;1051;134;361;19.01000;45.74;27.24;3.47;9.35
Wójt Gminy Bielsk Podlaski;200303;3;1;50.33;1;1;0;0;0;1;200303;2;Bielsk Podlaski;42994;431;6732;16;15;1338;gw;52.659283,22.974498 52.913469,23.378667;52.786376,23.1765825;200303;6195;2810;503;2752;1615;553;336;157;15.18000;57.47;19.68;11.96;5.59
Wójt Gminy Regimin;140208;2;1;46.00;0;1;0;0;0;1;140208;2;Regimin;11118;111;5026;45;1198;1720;gw;52.898602,20.440817 52.995919,20.726476;52.9472605,20.5836465;140208;4065;1932;724;1883;1268;355;49;100;27.26000;65.63;18.37;2.54;5.18
Prezydent Miasta Gdyni;226201;5;0;42.80;0;1;0;1;0;3;226201;1;Gdynia (ab);13514;135;246306;1823;837;12;mm;54.422750,18.357981 54.584478,18.569123;54.503614,18.463552;226201;193831;79418;8184;77093;8811;17511;5268;38314;9.34000;11.09;22.05;6.63;48.24
Wójt Gminy Skórcz;221310;3;0;44.00;0;0;0;0;0;3;221310;2;Skórcz;9686;97;4643;48;1434;1824;gw;53.743938,18.421691 53.866739,18.636697;53.8053385,18.529194;221310;3544;1283;453;1258;431;320;104;327;26.09000;33.59;24.94;8.11;25.49
Wójt Gminy Wodzisław;260209;3;0;39.67;1;1;0;0;0;1;260209;2;Wodzisław;17689;177;7100;40;472;1263;gw;50.447224,20.070505 50.589164,20.370500;50.518194,20.2205025;260209;6139;2752;779;2721;1770;406;83;348;22.06000;64.32;14.75;3.02;12.65
Wójt Gminy Skołyszyn;180509;3;0;47.33;0;1;0;0;0;2;180509;2;Skołyszyn;7849;78;12531;160;1726;660;gw;49.691380,21.241772 49.812061,21.401983;49.7517205,21.3218775;180509;10176;4244;829;4184;1345;1943;237;363;16.34000;31.69;45.78;5.58;8.55
Wójt Gminy Platerówka;021006;2;1;54.00;0;0;0;0;0;2;021006;2;Platerówka;4790;48;1631;34;2037;2288;gw;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186;021006;1338;509;288;479;102;125;32;150;36.14000;20.04;24.56;6.29;29.47
Wójt Gminy Biłgoraj;060203;2;0;53.50;1;1;0;0;0;0;060203;2;Biłgoraj;26266;264;13294;51;147;605;gw;50.465849,22.505641 50.642844,22.840130;50.5543465,22.6728855;060203;10494;4343;776;4213;1209;1847;79;856;15.16000;27.84;42.53;1.82;19.71
Wójt Gminy Wierzbica;060312;3;1;54.67;1;1;0;0;0;1;060312;2;Wierzbica;14579;146;5136;35;724;1698;gw;51.192004,23.206755 51.362317,23.403654;51.2771605,23.3052045;060312;4318;1898;413;1853;317;240;85;1165;17.87000;16.70;12.64;4.48;61.38
Burmistrz Jarocina;300602;4;1;50.75;0;1;0;0;0;3;300602;3;Jarocin;20013;200;45571;228;343;109;gmw;51.873397,17.384545 52.055022,17.633459;51.9642095,17.509002;300602;36400;14544;3708;10549;6083;1380;722;1929;20.32000;41.82;9.49;4.96;13.26
Burmistrz Miasta Sochaczew;142801;3;0;49.67;0;0;1;0;0;2;142801;1;Sochaczew;2619;26;36790;1405;2188;143;gm;52.191075,20.188423 52.281462,20.300683;52.2362685,20.244553;142801;29804;11579;1928;10650;5339;2738;706;1255;14.27000;46.11;23.65;6.10;10.84
Burmistrz Strumienia;240311;3;2;45.33;0;0;0;0;0;3;240311;3;Strumień;5854;59;13164;225;1957;613;gmw;49.840933,18.655687 49.938140,18.802748;49.8895365,18.7292175;240311;10139;3489;1063;3087;791;1032;221;830;23.35000;22.67;29.58;6.33;23.79
Burmistrz Bełżyc;060901;5;0;49.40;0;0;0;0;0;5;060901;3;Bełżyce;13397;134;13356;100;857;596;gmw;51.097187,22.119611 51.221103,22.370671;51.159145,22.245141;060901;10944;4155;1130;4016;1691;1287;164;578;21.38000;40.70;30.97;3.95;13.91
Wójt Gminy Dubicze Cerkiewne;200505;2;0;47.00;0;0;0;0;0;2;200505;2;Dubicze Cerkiewne;15144;151;1567;10;661;2289;gw;52.564594,23.355376 52.715987,23.622192;52.6402905,23.488784;200505;1497;594;117;576;339;12;153;51;16.46000;57.07;2.02;25.76;8.59
Wójt Gminy Wiskitki;143805;3;1;50.00;0;1;0;0;0;2;143805;2;Wiskitki;15015;151;9870;66;678;876;gw;51.999429,20.243295 52.156344,20.454328;52.0778865,20.3488115;143805;7860;3480;1219;3172;1340;899;135;526;25.94000;38.51;25.83;3.88;15.11
Wójt Gminy Świętajno;281305;3;1;45.67;0;0;0;0;0;3;281305;2;Świętajno;21493;215;3967;18;271;1988;gw;53.928806,22.149802 54.116585,22.446101;54.0226955,22.2979515;281305;3304;1354;325;1241;877;120;34;125;19.36000;64.77;8.86;2.51;9.23
Wójt Gminy Cieszków;021301;2;0;56.00;1;0;0;0;0;1;021301;2;Cieszków;10083;101;4663;46;1378;1815;gw;51.564865,17.208318 51.647915,17.478384;51.60639,17.343351;021301;3779;1670;655;1378;452;342;118;381;28.17000;27.07;20.48;7.07;22.81
Burmistrz Grodkowa;160103;3;1;55.33;0;0;1;0;0;2;160103;3;Grodków;28595;286;19376;68;119;361;gmw;50.578816,17.207207 50.794919,17.510583;50.6868675,17.358895;160103;15738;5060;1162;4908;976;772;2326;682;18.68000;19.29;15.26;45.97;13.48
Wójt Gminy Rudna;021103;3;1;60.67;0;1;0;0;0;2;021103;2;Rudna;21664;217;7742;36;266;1150;gw;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445;021103;6165;3244;1104;2509;696;974;199;495;25.39000;21.45;30.02;6.13;15.26
Burmistrz Radłowa;121605;2;0;56.50;0;1;0;0;0;1;121605;3;Radłów;8619;86;9769;113;1592;890;gmw;50.041931,20.734517 50.170281,20.898910;50.106106,20.8167135;121605;8018;3178;919;3135;623;1301;74;944;22.43000;19.60;40.94;2.33;29.70
Wójt Gminy Wymiarki;081008;7;1;52.43;0;1;0;0;0;6;081008;2;Wymiarki;6309;63;2321;37;1922;2261;gw;51.481710,14.987576 51.561679,15.169602;51.5216945,15.078589;081008;1957;667;391;592;184;109;126;138;36.96000;27.59;16.34;18.89;20.69
Wójt Gminy Budzów;121503;1;0;60.00;0;0;0;0;0;1;121503;2;Budzów;7356;74;8929;121;1798;985;gw;49.738554,19.617498 49.831750,19.804224;49.785152,19.710861;121503;6665;2450;615;2357;1499;467;46;223;20.07000;61.18;19.06;1.88;9.10
Wójt Gminy Rawa Mazowiecka;101304;2;0;47.00;1;0;0;0;0;1;101304;2;Rawa Mazowiecka;16325;164;8750;54;565;1004;gw;51.700648,20.111504 51.850915,20.349021;51.7757815,20.2302625;101304;6937;2562;472;2499;1568;572;75;178;15.56000;61.20;22.33;2.93;6.95
Wójt Gminy Lipusz;220606;1;0;48.00;0;0;0;0;0;1;220606;2;Lipusz;10895;109;3723;34;1243;2053;gw;54.039893,17.662393 54.179573,17.879017;54.109733,17.770705;220606;2750;1124;273;1111;173;328;307;241;19.54000;15.39;29.18;27.31;21.44
Wójt Gminy Chorkówka;180701;3;0;45.67;0;1;0;0;0;2;180701;2;Chorkówka;7735;77;13469;174;1743;593;gw;49.577315,21.571471 49.691440,21.732806;49.6343775,21.6521385;180701;10726;4506;893;4472;2078;1528;243;354;16.54000;46.12;33.91;5.39;7.86
Burmistrz Szubina;041005;5;3;47.40;1;0;0;0;0;4;041005;3;Szubin;33226;332;24657;74;64;251;gmw;52.910653,17.563325 53.113949,17.878377;53.012301,17.720851;041005;18765;6460;1676;6357;4120;1016;332;687;20.60000;63.78;15.73;5.14;10.63
Wójt Gminy Grudziądz;040601;2;0;52.50;0;0;0;0;0;2;040601;2;Grudziądz;16533;165;12621;76;553;653;gw;53.362205,18.596798 53.610794,18.892144;53.4864995,18.744471;040601;9284;3410;799;3000;853;680;162;1200;18.98000;25.01;19.94;4.75;35.19
Burmistrz Gminy Żukowo;220508;3;0;44.33;0;0;0;0;0;3;220508;3;Żukowo;16404;164;37326;228;559;141;gmw;54.262316,18.266737 54.479599,18.492445;54.3709575,18.379591;220508;23970;10819;2164;10261;3123;2304;365;3628;16.67000;28.87;21.30;3.37;33.53
Wójt Gminy Latowicz;141210;2;0;45.50;0;1;0;0;0;1;141210;2;Latowicz;11405;114;5436;48;1143;1622;gw;51.973573,21.652907 52.084046,21.887857;52.0288095,21.770382;141210;4260;1589;635;1448;557;577;53;156;28.55000;35.05;36.31;3.34;9.82
Burmistrz Miasta Siemiatycze;201001;2;0;37.50;0;1;0;0;0;1;201001;1;Siemiatycze;3625;36;14590;402;2116;534;gm;52.376375,22.821323 52.464737,22.929075;52.420556,22.875199;201001;12380;4973;871;4867;704;1465;342;2131;14.90000;14.16;29.46;6.88;42.85
Wójt Gminy Mierzęcice;240105;2;1;54.00;0;0;0;0;0;2;240105;2;Mierzęcice;4943;49;7691;156;2024;1165;gw;50.385818,19.063780 50.504691,19.200294;50.4452545,19.132037;240105;6175;2549;730;2271;935;410;282;448;22.26000;36.68;16.08;11.06;17.58
Wójt Gminy Słupca;302306;2;2;52.00;1;0;0;0;0;1;302306;2;Słupca;14481;144;9239;64;735;937;gw;52.223895,17.783223 52.376229,18.067645;52.300062,17.925434;302306;7532;2790;1008;2679;859;474;1002;280;26.54000;30.79;16.99;35.91;10.04
Wójt Gminy Miastkowo;200703;3;0;56.33;0;1;0;0;0;2;200703;2;Miastkowo;11485;115;4257;37;1129;1924;gw;53.071672,21.693122 53.205396,21.925355;53.138534,21.8092385;200703;3412;1377;451;1321;461;677;46;95;24.67000;33.48;49.16;3.34;6.90
Wójt Gminy Łoniów;260905;3;0;59.67;1;1;0;0;0;1;260905;2;Łoniów;8685;87;7552;87;1583;1187;gw;50.509281,21.410837 50.626039,21.628674;50.56766,21.5197555;260905;6238;3263;540;3240;2482;476;51;119;14.20000;76.06;14.59;1.56;3.65
Burmistrz Sędziszowa;260206;3;1;53.33;0;1;0;0;1;1;260206;3;Sędziszów;14565;146;12599;87;725;654;gmw;50.500165,19.901469 50.614356,20.210625;50.5572605,20.056047;260206;10618;4543;1049;4496;2669;883;177;623;18.76000;58.75;19.44;3.90;13.71
Burmistrz Miasta Sokołów Podlaski;142901;4;0;49.75;0;0;0;0;0;4;142901;1;Sokołów Podlaski;1751;18;18924;1081;2255;372;gm;52.388197,22.192143 52.440267,22.275888;52.414232,22.2340155;142901;15443;7171;1299;6705;1702;2473;493;1276;15.34000;23.73;34.49;6.87;17.79
Wójt Gminy Garbów;060904;2;0;49.00;0;1;0;0;0;1;060904;2;Garbów;10262;103;9053;88;1348;968;gw;51.314679,22.251216 51.429965,22.436758;51.372322,22.343987;060904;7183;3098;739;2954;935;970;63;719;19.26000;30.18;31.31;2.03;23.21
Wójt Gminy Lipie;240603;3;2;59.00;1;1;0;0;0;1;240603;2;Lipie;9905;99;6302;64;1408;1425;gw;50.982926,18.671961 51.076444,18.894966;51.029685,18.7834635;240603;5335;2318;961;2198;1402;420;155;106;29.31000;60.48;18.12;6.69;4.57
Wójt Gminy Limanowa;120707;2;0;51.00;0;1;0;0;0;1;120707;2;Limanowa;15223;152;25215;166;654;243;gw;49.633838,20.292394 49.823349,20.591559;49.7285935,20.4419765;120707;18609;8559;1665;8375;3881;3402;144;575;16.29000;45.34;39.75;1.68;6.72
Prezydent Miasta Opola;166101;6;3;46.33;0;1;1;1;0;3;166101;1;Opole;14888;149;128140;861;688;28;mm;50.587657,17.779591 50.769974,18.032696;50.6788155,17.9061435;166101;95743;33754;3208;29565;3748;6643;3876;13161;8.68000;11.10;19.68;11.48;38.99
Wójt Gminy Ładzice;101209;4;1;42.00;1;0;0;0;0;3;101209;2;Ładzice;8277;83;4809;58;1660;1780;gw;51.031093,19.204542 51.121784,19.421663;51.0764385,19.3131025;101209;3901;1726;533;1665;854;353;70;325;23.59000;49.48;20.45;4.06;18.83
Burmistrz Miasta i Gminy Skoki;302805;4;1;49.50;0;0;0;0;0;4;302805;3;Skoki;19849;198;9580;48;352;907;gmw;52.566791,17.031057 52.745926,17.342544;52.6563585,17.1868005;302805;7108;2147;605;2059;127;181;912;775;21.98000;5.92;8.43;42.48;36.10
Burmistrz Prószkowa;160910;2;1;57.50;0;0;0;0;0;2;160910;3;Prószków;11826;118;9066;77;1079;964;gmw;50.501672,17.748132 50.642532,17.972306;50.572102,17.860219;160910;7913;2330;502;740;129;139;115;258;17.73000;5.54;5.97;4.94;11.07
Burmistrz Jaworzyny Śląskiej;021904;3;1;42.00;0;0;0;0;0;3;021904;3;Jaworzyna Śląska;6745;67;10344;153;1879;830;gmw;50.856581,16.376061 50.957777,16.497881;50.907179,16.436971;021904;8399;2669;838;1941;335;591;274;574;23.90000;12.55;22.14;10.27;21.51
Wójt Gminy Orchowo;302303;3;1;56.33;0;0;0;0;0;3;302303;2;Orchowo;9803;98;3840;39;1426;2026;gw;52.461696,17.906065 52.555034,18.133490;52.508365,18.0197775;302303;3129;1223;716;1130;484;245;142;193;36.93000;39.57;20.03;11.61;15.78
Burmistrz Świecia;041409;4;0;43.50;0;1;1;0;0;2;041409;3;Świecie;17493;175;34111;195;487;157;gmw;53.297525,18.287006 53.495535,18.618388;53.39653,18.452697;041409;26513;8450;2022;8123;1608;1494;561;4119;19.31000;19.03;17.68;6.64;48.75
Wójt Gminy Wieprz;121810;3;1;57.67;0;1;0;0;0;2;121810;2;Wieprz;7442;75;12288;165;1786;671;gw;49.861355,19.298353 49.964335,19.452302;49.912845,19.3753275;121810;9385;3621;1012;3447;978;1460;125;716;21.84000;27.01;40.32;3.45;19.77
Burmistrz Miasta Kowary;020602;5;1;45.40;0;0;0;0;0;5;020602;1;Kowary;3739;37;11090;297;2110;767;gm;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;020602;9084;3441;849;3082;379;616;935;1002;19.79000;11.01;17.90;27.17;29.12
Wójt Gminy Ełk;280502;5;1;51.40;0;0;0;0;0;5;280502;2;Ełk;37918;380;11495;30;30;737;gw;53.703456,22.116857 53.954731,22.546863;53.8290935,22.33186;280502;8696;3230;1220;3088;1190;772;233;587;27.42000;36.84;23.90;7.21;18.17
Wójt Gminy Zbuczyn;142613;2;0;42.50;1;1;0;0;0;0;142613;2;Zbuczyn;21075;212;10087;48;286;851;gw;52.014160,22.339013 52.174265,22.669148;52.0942125,22.5040805;142613;7955;4196;965;4035;1586;1650;122;423;18.70000;37.80;39.32;2.91;10.08
Wójt Gminy Koczała;220305;3;1;58.00;0;0;0;1;0;2;220305;2;Koczała;22339;223;3403;15;249;2117;gw;53.814262,16.977629 54.011349,17.241209;53.9128055,17.109419;220305;2806;784;329;770;268;101;60;309;29.56000;34.18;12.88;7.65;39.41
Wójt Gminy Białośliwie;301902;2;0;52.50;0;0;0;0;0;2;301902;2;Białośliwie;7557;76;4891;65;1764;1759;gw;53.071874,17.054937 53.162461,17.227939;53.1171675,17.141438;301902;3825;1387;716;1263;408;296;119;294;34.05000;29.42;21.34;8.58;21.20
Wójt Gminy Żórawina;022309;4;1;59.50;0;0;0;0;0;4;022309;2;Żórawina;12027;120;10583;88;1051;812;gw;50.899999,16.936004 51.034821,17.162897;50.96741,17.0494505;022309;7821;3277;985;2908;780;651;139;1150;23.11000;23.80;19.87;4.24;35.09
Wójt Gminy Kościan;301103;1;0;57.00;0;0;0;0;0;1;301103;2;Kościan;20272;202;16059;79;330;465;gw;51.985399,16.522682 52.172342,16.865253;52.0788705,16.6939675;301103;12490;3728;1436;3275;803;639;336;1295;27.81000;21.54;17.14;9.01;34.74
Wójt Gminy Paprotnia;142606;2;0;45.50;0;1;0;0;0;1;142606;2;Paprotnia;8143;81;2572;32;1684;2237;gw;52.240640,22.350254 52.335213,22.544565;52.2879265,22.4474095;142606;2220;1166;301;1145;742;306;20;30;20.52000;63.64;26.24;1.72;2.57
Wójt Gminy Rokiciny;101607;3;0;50.33;0;0;0;0;0;3;101607;2;Rokiciny;9058;91;6173;68;1529;1452;gw;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355;101607;5078;2441;577;2351;1165;729;119;223;19.12000;47.73;29.86;4.88;9.14
