teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;6;URBANOWSKI Henryk Czesław;68;wyższe;Kłodzko,;352;3.14;-1;Nie
020803;1;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;===;R1;020803;1;MAZIARZ Piotr;52;wyższe;Kudowa-Zdrój,;1522;34.97;-1;Nie
020803;1;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;===;R1;020803;2;MIDOR-BURAK Marta Anna;49;wyższe;Kudowa-Zdrój,;511;11.74;-1;Nie
020803;1;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;===;R1;020803;3;POTOCZNA Aneta Ewa;45;wyższe;Kudowa-Zdrój,;2195;50.44;-1;Tak
020803;1;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;===;R1;020803;4;PUNDA Michał;65;wyższe;Kudowa-Zdrój,;124;2.85;-1;Nie
020804;1;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743;===;R1;020804;1;KILIŃSKI Tomasz Jacek;47;wyższe;Nowa Ruda,;5468;68.43;-1;Tak
020804;1;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743;===;R1;020804;2;MARKOWSKA Joanna Katarzyna;35;średnie;Nowa Ruda,;749;9.37;-1;Nie
020804;1;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743;===;R1;020804;3;ZAJĄC Marcin Zdzisław;42;wyższe;Nowa Ruda,;1774;22.20;-1;Nie
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;===;R1;020805;1;JELLIN Mateusz Krzysztof;36;wyższe;Polanica-Zdrój,;820;28.79;-1;Druga tura
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;===;R1;020805;2;KŁONOWSKI Dariusz Antoni;54;wyższe;Stary Wielisław,;671;23.56;-1;Druga tura
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;===;R1;020805;3;LIPIŃSKI Tomasz;60;wyższe;Polanica-Zdrój,;336;11.80;-1;Nie
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;===;R1;020805;4;SZYMANEK Marcin Piotr;39;wyższe;Polanica-Zdrój,;563;19.77;-1;Nie
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;===;R1;020805;5;TYNIEC Jacek;56;wyższe;Polanica-Zdrój,;458;16.08;-1;Nie
020806;3;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027;===;R1;020806;1;MAREK Barbara Halina;70;średnie;Bystrzyca Kłodzka,;223;2.74;-1;Nie
020806;3;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027;===;R1;020806;2;SĘGA Krystian;39;wyższe ekonomiczne;Gorzanów,;3662;45.01;-1;Nie
