komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;19;4;MICHALSKA Joanna;114;2.51;0.01;NX
K1;19;5;ZAREMBA Grzegorz;78;1.71;0.01;NX
K1;19;6;PAWLAK Leszek Bartłomiej;238;5.24;0.02;NX
K1;19;7;KRÓLAK Bogdan Antoni;74;1.62;0.01;NX
K1;19;8;HUBICKA-LEWANDOWSKA Maria Danuta;66;1.45;0.01;NX
K1;19;12;WIERZBICKA Iwona;58;1.27;0.01;NX
K1;19;13;KACZMAREK Zuzanna;69;1.51;0.01;NX
K1;19;35;SOCHOCKA Grażyna Anna;134;2.95;0.01;NX
K1;20;1;GÓRNIAK Krystyna Stanisława;1133;30.99;0.25;NX
K1;20;2;SZYMAŃSKI Grzegorz Jan;527;14.41;0.11;NX
K1;20;3;BORUCKA Hanna Teresa;265;7.24;0.06;NX
K1;20;4;MARKOWSKI Waldemar Kazimierz;167;4.56;0.04;NX
K1;20;5;MARCINOWSKI Robert Piotr;202;5.52;0.04;NX
K1;20;6;JAWORSKI Zdzisław;167;4.56;0.04;NX
K1;20;7;ŚWIĘCKA Agata;144;3.93;0.03;NX
K1;20;8;KALIŃSKI Marcin;134;3.66;0.03;NX
K1;20;9;BIESIADA Tadeusz;88;2.40;0.02;NX
K1;20;10;KOWALSKA Aneta Maria;178;4.86;0.04;NX
K1;20;11;SZYMCZAK Dorota;83;2.27;0.02;NX
K1;20;12;ROWICKI Janusz;64;1.75;0.01;NX
K1;20;14;FRĄCZEK Monika;92;2.51;0.02;NX
K1;20;15;JACZYŃSKI Bolesław;56;1.53;0.01;NX
K1;20;16;JASTRZĘBSKI Ludomir Paweł;42;1.14;0.01;NX
K1;20;17;KAPUSTA Adam;122;3.33;0.03;NX
K1;20;18;KACPERSKA Paulina Małgorzata;47;1.28;0.01;NX
K1;20;19;RUMIŃSKI Bartosz;35;0.95;0.01;NX
K1;20;20;DOMINIK Oktawian Krzysztof;87;2.37;0.02;NX
K1;21;1;LEWANDOWSKA Sandra Magdalena;2125;33.22;0.58;NX
K1;21;2;STĘPKOWSKI Józef Zbigniew;1152;18.01;0.31;NX
K1;21;3;KLIMKÓW Jan;624;9.75;0.17;NX
K1;21;4;KOZACZEK Mariusz;367;5.73;0.10;NX
K1;21;5;KOSOWSKI Henryk;235;3.67;0.06;NX
K1;21;6;SYREK Bogdan Alojzy;198;3.09;0.05;NX
K1;21;7;SWATEK Edward;224;3.50;0.06;NX
K1;21;8;SALOMON Antoni Henryk;140;2.18;0.04;NX
K1;21;9;MICZULIS Ryszard;89;1.39;0.02;NX
K1;21;10;MROCZEK Joanna;202;3.15;0.05;NX
K1;21;11;SZŁAPA Irena;107;1.67;0.03;NX
K1;21;12;PIASECKI Marek;114;1.78;0.03;NX
